code	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes
abs-mag%	1	1	item_absorbmagic_percent																											+# Magic Absorb		Min #	Max #	
abs-mag	1	1	item_absorbmagic																											Magic Absorb #%		Min %	Max %	
abs-cold%	1	1	item_absorbcold_percent																											+# Cold Absorb		Min #	Max #	
abs-cold	1	1	item_absorbcold																											Cold Absorb #%		Min %	Max %	
dur	1	1	maxdurability																											Durability: # of #		Min #	Max #	
dur%	1	13	item_maxdurability_percent																											Increase Maximum Durability #%		Min %	Max %	
regen	1	1	hpregen																											Replenish Life +#		Min #	Max #	
thorns	1	1	item_attackertakesdamage																											Attacker Takes Damage of #		Min #	Max #	
swing1	1	8	item_fasterattackrate																											+#% Increased Attack Speed		Min %	Max %	
swing2	1	8	item_fasterattackrate																											+#% Increased Attack Speed		Min %	Max %	
swing3	1	8	item_fasterattackrate																											+#% Increased Attack Speed		Min %	Max %	
gold%	1	1	item_goldbonus																											#% Extra Gold from Monsters		Min %	Max %	
mag%	1	1	item_magicbonus																											#% Better Chance of Getting Magic Items		Min %	Max %	
knock	1	1	item_knockback																											Knockback		1	1	
regen-stam	1	1	staminarecoverybonus																											Heal Stamina Plus #%		Min %	Max %	
regen-mana	1	1	manarecoverybonus																											Regenerate Mana #%		Min %	Max %	
stam	1	1	maxstamina																											+# Maximum Stamina		Min #	Max #	
time	1	1	item_timeduration																													Min #	Max #	Currently Not Used
manasteal	1	1	manadrainmindam																											#% Mana stolen per hit		Min #	Max #	
lifesteal	1	1	lifedrainmindam																											#% Life stolen per hit		Min #	Max #	
ama	1	21	item_addclassskills		0																									+# to Amazon Skill Levels		Min #	Max #	
pal	1	21	item_addclassskills		3																									+# to Paladin Skill Levels		Min #	Max #	
nec	1	21	item_addclassskills		2																									+# to Necromancer Skill Levels		Min #	Max #	
sor	1	21	item_addclassskills		1																									+# to Sorceress Skill Levels		Min #	Max #	
bar	1	21	item_addclassskills		4																									+#  to Barbarian Skill Levels		Min #	Max #	
herb	1	1	item_doubleherbduration																													Min #	Max #	Currently Not Used
light	1	1	item_lightradius																											+# to Light Radius		Min #	Max #	
color	1	1	item_lightcolor	1																												Min #	Max #	Currently Not Used
ease	1	1	item_req_percent																											Requirements -#%		Min %	Max %	
move1	1	8	item_fastermovevelocity																											+#% Faster Run/Walk		Min %	Max %	
move2	1	8	item_fastermovevelocity																											+#% Faster Run/Walk		Min %	Max %	
move3	1	8	item_fastermovevelocity																											+#% Faster Run/Walk		Min %	Max %	
balance1	1	8	item_fastergethitrate																											+#% Faster Hit Recovery		Min %	Max %	
balance2	1	8	item_fastergethitrate																											+#% Faster Hit Recovery		Min %	Max %	
balance3	1	8	item_fastergethitrate																											+#% Faster Hit Recovery		Min %	Max %	
block1	1	8	item_fasterblockrate																											+#% Faster Block Rate		Min %	Max %	
block2	1	8	item_fasterblockrate																											+#% Faster Block Rate		Min %	Max %	
block3	1	8	item_fasterblockrate																											+#% Faster Block Rate		Min %	Max %	
cast1	1	8	item_fastercastrate																											+#% Faster Cast Rate		Min %	Max %	
cast2	1	8	item_fastercastrate																											+#% Faster Cast Rate		Min %	Max %	
cast3	1	8	item_fastercastrate																											+#% Faster Cast Rate		Min %	Max %	
res-pois-len	1	1	item_poisonlengthresist																											Poison Length Reduced by #%		Min %	Max %	
dmg	1	1	item_normaldamage																											Damage +#		Min #	Max #	
howl	1	1	item_howl																											Hit Causes Monster to Flee #%		Min %/128	Max %/128	
stupidity	1	1	item_stupidity																											Hit Blinds Target +#		Min #	Max #	
ignore-ac	1	1	item_ignoretargetac																											Ignore Target's Defense		1	1	
reduce-ac	1	1	item_fractionaltargetac																											-#% Target Defense		Min #	Max #	
noheal	1	1	item_preventheal																											Prevent Monster Heal		1	1	
half-freeze	1	1	item_halffreezeduration																											Half Freeze Duration		1	1	
att%	1	1	item_tohit_percent																											#% Bonus to Attack Rating		Min %	Max %	
dmg-ac	1	1	item_damagetargetac																											-# to Monster Defense Per Hit		Min #	Max #	
dmg-demon	1	1	item_demondamage_percent																											+#% Damage to Demons		Min %	Max %	
dmg-undead	1	1	item_undeaddamage_percent																											+#% Damage to Undead		Min %	Max %	
att-demon	1	1	item_demon_tohit																											+# to Attack Rating against Demons		Min #	Max #	
att-undead	1	1	item_undead_tohit																											+# to Attack Rating against Undead		Min #	Max #	
throw	1	1	item_throwable																													1	1	Currently Not Used
fireskill	1	21	item_elemskill			1	item_elemskillfire																							+# to Fire Skills		Min #	Max #	
allskills	1	1	item_allskills																											+# to All Skills		Min #	Max #	
light-thorns	1	1	item_attackertakeslightdamage																											Attacker Takes Lightning Damage of #		Min #	Max #	
freeze	1	1	item_freeze																											Freezes Target +#		Min #	Max #	
openwounds	1	1	item_openwounds																											#% Chance of Open Wounds		Min %	Max %	
crush	1	1	item_crushingblow																											#% Chance of Crushing Blow		Min %	Max %	
kick	1	1	item_kickdamage																											+# Kick Damage		Min %	Max %	
mana-kill	1	1	item_manaafterkill																											+# to Mana after each Kill		Min #	Max #	
demon-heal	1	1	item_healafterdemonkill																											+# Life after each Demon Kill		Min #	Max #	
bloody	1	1	item_extrablood																													Min #	Max #	Visuals Only
deadly	1	1	item_deadlystrike																											#% Deadly Strike		Min #	Max #	
slow	1	1	item_slow																											Slows Target by #%		Min #	Max #	
nofreeze	1	1	item_cannotbefrozen																											Cannot Be Frozen		1	1	
stamdrain	1	1	item_staminadrainpct																											#% Slower Stamina Drain		Min #	Max #	
reanimate	1	24	item_reanimate																											Reanimate As: [Returned]	monstats.txt hcIdx	Min %	Max %	
pierce	1	1	item_pierce																											Piercing Attack		Min %	Max %	
magicarrow	1	1	item_magicarrow																											Fires Magic Arrows		Min #	Max #	
explosivearrow	1	1	item_explosivearrow																											Fires Explosive Arrows or Bolts		Min #	Max #	
Expansion																																		
dru	1	21	item_addclassskills		5																									+# to Druid Skill Levels		Min #	Max #	
ass	1	21	item_addclassskills		6																									+# to Assassin Skill Levels		Min #	Max #	
skill	1	22	item_singleskill																											+# to [Skill] ([Class] only)	Skill	Min #	Max #	
skilltab	1	10	item_addskill_tab																											+# to [Class Skill Tab] Skills	Class Skill Tab ID	Min #	Max #	"[Class Skill Tab ID] = (Amazon = 0-2, Sorceress = 3-5, Necromancer = 6-8, Paladin = 9-11, Barbarian = 12-14, Druid = 15-17,  Assassin = 18-20)"
aura	1	22	item_aura																											Level # [Skill] Aura When Equipped	Skill	Min #	Max #	
att-skill	1	11	item_skillonattack																											#% Chance to cast level # [Skill] on attack	Skill	"% Chance (If 0, then default to 5)"	Skill Level	
hit-skill	1	11	item_skillonhit																											#% Chance to cast level # [Skill] on striking	Skill	"% Chance (If 0, then default to 5)"	Skill Level	
gethit-skill	1	11	item_skillongethit																											#% Chance to cast level # [Skill] when struck	Skill	"% Chance (If 0, then default to 5)"	Skill Level	
gembonus																																		
regen-dur																																		
fire-fx																																		
ltng-fx																																		
sock	1	14	item_numsockets																											Socketed (#)		Min #	Max #	
dmg-fire	1	15	firemindam			16	firemaxdam																							Adds #-# Fire Damage		Min #	Max #	
dmg-ltng	1	15	lightmindam			16	lightmaxdam																							Adds #-# Lightning Damage		Min #	Max #	
dmg-mag	1	15	magicmindam			16	magicmaxdam																							Adds #-# Magic Damage		Min #	Max #	
dmg-cold	1	15	coldmindam			16	coldmaxdam			17	coldlength																			Adds #-# Cold Damage	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)
dmg-pois	1	15	poisonmindam			16	poisonmaxdam			17	poisonlength																			Adds #-# Poison Damage Over # Seconds	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)
dmg-throw	1	15	item_throw_mindamage			16	item_throw_maxdamage																									Min #	Max #	Currently Not Used
dmg-norm	1	15	mindamage			16	maxdamage																							Adds #-# Damage		Min #	Max #	
ac/lvl	1	17	item_armor_perlevel																											+# Defense (Based on Character Level)	ac/lvl (8ths)			
ac%/lvl	1	17	item_armorpercent_perlevel																											+#% Enhanced Defense (Based on Character Level)	#/8 per Level			
hp/lvl	1	17	item_hp_perlevel																											+# to Life (Based on Character Level)	#/8 per Level			
mana/lvl	1	17	item_mana_perlevel																											+# to Mana (Based on Character Level)	#/8 per Level			
dmg/lvl	1	17	item_maxdamage_perlevel																											+# to Maximum Damage (Based on Character Level)	#/8 per Level			
dmg%/lvl	1	17	item_maxdamage_percent_perlevel																											+#% Enhanced Maximum Damage (Based on Character Level)	#/8 per Level			
str/lvl	1	17	item_strength_perlevel																											+# to Strength (Based on Character Level)	#/8 per Level			
dex/lvl	1	17	item_dexterity_perlevel																											+# to Dexterity (Based on Character Level)	#/8 per Level			
enr/lvl	1	17	item_energy_perlevel																											+# to Energy (Based on Character Level)	#/8 per Level			Currently Not Used
vit/lvl	1	17	item_vitality_perlevel																											+# to Vitality (Based on Character Level)	#/8 per Level			
att/lvl	1	17	item_tohit_perlevel																											+# to Attack Rating (Based on Character Level)	#/2 per Level			
att%/lvl	1	17	item_tohitpercent_perlevel																											#% Bonus to Attack Rating (Based on Character Level)	#/2 per Level			
dmg-cold/lvl	1	17	item_cold_damagemax_perlevel																											+# to Maximum Cold Damage (Based on Character Level)	#/8 per Level			Currently Not Used
dmg-fire/lvl	1	17	item_fire_damagemax_perlevel																											+# to Maximum Fire Damage (Based on Character Level)	#/8 per Level			Currently Not Used
dmg-ltng/lvl	1	17	item_ltng_damagemax_perlevel																											+# to Maximum Lightning Damage (Based on Character Level)	#/8 per Level			Currently Not Used
dmg-pois/lvl	1	17	item_pois_damagemax_perlevel																											+# to Maximum Poison Damage (Based on Character Level)	#/8 per Level			Currently Not Used
res-cold/lvl	1	17	item_resist_cold_perlevel																											Cold Resist +#% (Based on Character Level)	#/8 per Level			
res-fire/lvl	1	17	item_resist_fire_perlevel																											Fire Resist +#% (Based on Character Level)	#/8 per Level			
res-ltng/lvl	1	17	item_resist_ltng_perlevel																											Lightning Resist +#% (Based on Character Level)	#/8 per Level			
res-pois/lvl	1	17	item_resist_pois_perlevel																											Poison Resist +#% (Based on Character Level)	#/8 per Level			
abs-cold/lvl	1	17	item_absorb_cold_perlevel																											Absorbs Cold Damage (Based on Character Level)	#/8 per Level			
abs-fire/lvl	1	17	item_absorb_fire_perlevel																											Absorbs Fire Damage (Based on Character Level)	#/8 per Level			
abs-ltng/lvl	1	17	item_absorb_ltng_perlevel																											Absorbs Lightning Damage (Based on Character Level)	#/8 per Level			Currently Not Used
abs-pois/lvl	1	17	item_absorb_pois_perlevel																											Absorbs Poison Damage (Based on Character Level)	#/8 per Level			Currently Not Used
thorns/lvl	1	17	item_thorns_perlevel																											Attacker Takes Damage of # (Based on Character Level)	#/8 per Level			
gold%/lvl	1	17	item_find_gold_perlevel																											#% Extra Gold from Monsters (Based on Character Level)	#/8 per Level			
mag%/lvl	1	17	item_find_magic_perlevel																											#% Better Chance of Getting Magic Items (Based on Character Level)	#/8 per Level			
regen-stam/lvl	1	17	item_regenstamina_perlevel																											Heal Stamina Plus #% (Based on Character Level)	#/8 per Level			
stam/lvl	1	17	item_stamina_perlevel																											+# Maximum Stamina (Based on Character Level)	#/8 per Level			
dmg-dem/lvl	1	17	item_damage_demon_perlevel																											+#% Damage to Demons (Based on Character Level)	#/8 per Level			
dmg-und/lvl	1	17	item_damage_undead_perlevel																											+#% Damage to Undead (Based on Character Level)	#/8 per Level			
att-dem/lvl	1	17	item_tohit_demon_perlevel																											+# to Attack Rating against Demons (Based on Character Level)	#/2 per Level			
att-und/lvl	1	17	item_tohit_undead_perlevel																											+# to Attack Rating against Undead (Based on Character Level)	#/2 per Level			
crush/lvl	1	17	item_crushingblow_perlevel																											#% Chance of Crushing Blow (Based on Character Level)	#/8 per Level			Currently Not Used
wounds/lvl	1	17	item_openwounds_perlevel																											#% Chance of Open Wounds (Based on Character Level)	#/8 per Level			Currently Not Used
kick/lvl	1	17	item_kick_damage_perlevel																											+# Kick Damage (Based on Character Level)	#/8 per Level			Currently Not Used
deadly/lvl	1	17	item_deadlystrike_perlevel																											#% Deadly Strike (Based on Character Level)	#/8 per Level			
gems%/lvl																																		
rep-dur	1	17	item_replenish_durability																											Repairs 1 durability in # seconds	Repair Speed			Repair 1 Durability every 100/[Repair Speed] seconds
rep-quant	1	17	item_replenish_quantity																											Replenishes quantity	Repair Speed			Replenish 1 Quantity every 100/[Repair Speed] seconds
stack	1	1	item_extra_stack																											Increased Stack Size		Min #	Max #	
item%																																		
dmg-slash																																		
dmg-slash%																																		
dmg-crush																																		
dmg-crush%																																		
dmg-thrust																																		
dmg-thrust%																																		
abs-slash																																		
abs-crush																																		
abs-thrust																																		
abs-slash%																																		
abs-crush%																																		
abs-thrust%																																		
ac/time	1	18	item_armor_bytime																											+# Defense (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
ac%/time	1	18	item_armorpercent_bytime																											+#% Enhanced Defense (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
hp/time	1	18	item_hp_bytime																											+# to Life (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
mana/time	1	18	item_mana_bytime																											+# to Mana (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
dmg/time	1	18	item_maxdamage_bytime																											+# to Maximum Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
dmg%/time	1	18	item_maxdamage_percent_bytime																											+#% Enhanced Maximum Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
str/time	1	18	item_strength_bytime																											+# to Strength (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
dex/time	1	18	item_dexterity_bytime																											+# to Dexterity (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
enr/time	1	18	item_energy_bytime																											+# to Energy (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
vit/time	1	18	item_vitality_bytime																											+# to Vitality (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
att/time	1	18	item_tohit_bytime																											+# to Attack Rating (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
att%/time	1	18	item_tohitpercent_bytime																											#% Bonus to Attack Rating (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
dmg-cold/time	1	18	item_cold_damagemax_bytime																											+# to Maximum Cold Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
dmg-fire/time	1	18	item_fire_damagemax_bytime																											+# to Maximum Fire Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
dmg-ltng/time	1	18	item_ltng_damagemax_bytime																											+# to Maximum Lightning Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
dmg-pois/time	1	18	item_pois_damagemax_bytime																											+# to Maximum Poison Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
res-cold/time	1	18	item_resist_cold_bytime																											Cold Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
res-fire/time	1	18	item_resist_fire_bytime																											Fire Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
res-ltng/time	1	18	item_resist_ltng_bytime																											Lightning Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
res-pois/time	1	18	item_resist_pois_bytime																											Poison Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
abs-cold/time	1	18	item_absorb_cold_bytime																											Absorbs Cold Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
abs-fire/time	1	18	item_absorb_fire_bytime																											Absorbs Fire Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
abs-ltng/time	1	18	item_absorb_ltng_bytime																											Absorbs Lightning Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
abs-pois/time	1	18	item_absorb_pois_bytime																											Absorbs Poison Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
gold%/time	1	18	item_find_gold_bytime																											#% Extra Gold from Monsters (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
mag%/time	1	18	item_find_magic_bytime																											#% Better Chance of Getting Magic Items (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
regen-stam/time	1	18	item_regenstamina_bytime																											Heal Stamina Plus #% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
stam/time	1	18	item_stamina_bytime																											+# Maximum Stamina (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
dmg-dem/time	1	18	item_damage_demon_bytime																											+#% Damage to Demons (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
dmg-und/time	1	18	item_damage_undead_bytime																											+#% Damage to Undead (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
att-dem/time	1	18	item_tohit_demon_bytime																											+# to Attack Rating against Demons (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
att-und/time	1	18	item_tohit_undead_bytime																											+# to Attack Rating against Undead (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
crush/time	1	18	item_crushingblow_bytime																											#% Chance of Crushing Blow (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
wounds/time	1	18	item_openwounds_bytime																											#% Chance of Open Wounds (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
kick/time	1	18	item_kick_damage_bytime																											+# Kick Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
deadly/time	1	18	item_deadlystrike_bytime																											#% Deadly Strike (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"
gems%/time																																		
pierce-fire	1	1	passive_fire_pierce																											-#% to Enemy Fire Resistance		Min %	Max %	
pierce-ltng	1	1	passive_ltng_pierce																											-#% to Enemy Lightning Resistance		Min %	Max %	
pierce-cold	1	1	passive_cold_pierce																											-#% to Enemy Cold Resistance		Min %	Max %	
pierce-pois	1	1	passive_pois_pierce																											-#% to Enemy Poison Resistance		Min %	Max %	
dmg-mon																																		
dmg%-mon																																		
att-mon																																		
att%-mon																																		
ac-mon																																		
ac%-mon																																		
indestruct	1	20																												Indestructible		1	1	
charged	1	19	item_charged_skill																											Level # [Skill] (#/# Charges)	Skill	# of Max Charges	Skill Level	
extra-fire	1	1	passive_fire_mastery																											+#% to Fire Skill Damage		Min %	Max %	
extra-ltng	1	1	passive_ltng_mastery																											+#% to Lightning Skill Damage		Min %	Max %	
extra-cold	1	1	passive_cold_mastery																											+#% to Cold Skill Damage		Min %	Max %	
extra-pois	1	1	passive_pois_mastery																											+#% to Poison Skill Damage		Min %	Max %	
dmg-elem	1	15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength			Adds #-# Fire/Lightning/Cold Damage		Min #	Max #	
dmg-elem-min	1	1	firemindam			3	lightmindam			3	coldmindam																			+# to Minimum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used
