Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Act 1 (N) Good	5	38	1						Jewelry B	68	Flawless Gem	10	Runes 8	12	wss	2																		0
Act 2 (N) Good	5	42	1						Jewelry B	68	Flawless Gem	12	Runes 9	12	wss	2																		0
Act 3 (N) Good	5	46	1						Jewelry B	68	Flawless Gem	14	Runes 10	12	wss	2																		0
Act 4 (N) Good	5	51	1						Jewelry B	68	Flawless Gem	16	Runes 11	12	wss	2																		0
Act 5 (N) Good	5	57	1						Jewelry B	68	Flawless Gem	18	Runes 12	12	wss	2																		0
Act 1 (H) Good	5	66	1						Jewelry C	68	Flawless Gem	20	Runes 13	12	wss	4																		0
Act 2 (H) Good	5	72	1						Jewelry C	68	Flawless Gem	22	Runes 14	12	wss	4																		0
Act 3 (H) Good	5	78	1						Jewelry C	68	Flawless Gem	24	Blemished Gem	1	Runes 15	12	wss	4																0
Act 4 (H) Good	5	82	1						Jewelry C	68	Flawless Gem	26	Blemished Gem	1	Runes 16	12	wss	4																0
Act 5 (H) Good	5	85	1						Jewelry C	68	Flawless Gem	28	Blemished Gem	2	Runes 16	12	wss	4																0
Act 1 Coupon A			1						05f	6	06f	6	07f	6	08f	6	03f	6	02c	6	02f	6	01f	6	01c	6			54					0
Act 1 Coupon B			1						13f	6	05c	6	01j	6	06c	6	09f	6	10f	6	04c	6	03c	6	04f	6	Act 1 Coupon A	54	54					0
Act 1 Coupon C			1						09c	6	08c	6	07c	6	14f	6	15f	6	16f	6	17f	6	11f	6	12f	6	Act 1 Coupon B	108	54					0
Act 2 Coupon A			1						22f	6	23f	6	10c	6	21f	6	20f	6	11c	6	19f	6	01i	6	18f	6	Act 1 Coupon C	162	54					0
Act 2 Coupon B			1						19c	6	15c	6	25f	6	27f	6	14c	6	13c	6	26f	6	12c	6	24f	6	Act 2 Coupon A	216	54					0
Act 2 Coupon C			1						16c	6	30f	6	29f	6	28f	6	18c	6	17c	6	02j	6	02i	6	20c	6	Act 2 Coupon B	270	54					0
Act 3 Coupon A			1						34f	6	35f	6	32f	6	33f	6	24c	6	31f	6	23c	6	22c	6	21c	6	Act 2 Coupon C	324	54					0
Act 3 Coupon B			1						27c	6	26c	6	29c	6	28c	6	25c	6	36f	6	37f	6	38f	6	39f	6	Act 3 Coupon A	378	54					0
Act 3 Coupon C			1						32c	6	31c	6	34c	6	42f	6	30c	6	43f	6	44f	6	40f	6	41f	6	Act 3 Coupon B	432	54					0
Act 4 Coupon A			1						47f	6	38c	6	39c	6	37c	6	36c	6	35c	6	46f	6	45f	6	33c	6	Act 3 Coupon C	486	54					0
Act 4 Coupon B			1						53f	6	54f	6	55f	6	42c	6	41c	6	40c	6	56f	6	49f	6	48f	6	Act 4 Coupon A	540	54					0
Act 5 Coupon A			1						60f	6	61f	6	43c	6	59f	6	58f	6	57f	6	51f	6	50f	6	52f	6	Act 4 Coupon B	594	54					0
Act 5 Coupon B			1						46c	6	65f	6	64f	6	63f	6	62f	6	03i	6	45c	6	44c	6	66f	6	Act 5 Coupon A	648	54					0
Act 5 Coupon C			1						01d	4	02d	4	03d	4	02g	4	71f	6	70f	6	69f	6	68f	6	67f	6	Act 5 Coupon B	702	50					0
Act 1 (N) Coupon A			1						10d	4	09d	4	08d	4	03g	4	07d	4	06d	4	05d	4	04d	4	01g	4	Act 5 Coupon C	752	36					0
Act 1 (N) Coupon B			1						13d	4	09g	4	07g	4	06g	4	05g	4	04g	4	03j	4	12d	4	11d	4	Act 1 (N) Coupon A	788	36					0
Act 1 (N) Coupon C			1						16g	4	15g	4	14g	4	13g	4	12g	4	11g	4	10g	4	14d	4	08g	4	Act 1 (N) Coupon B	824	36					0
Act 2 (N) Coupon A			1						20g	4	24g	4	16d	4	17d	4	15d	4	18d	4	19g	4	18g	4	17g	4	Act 1 (N) Coupon C	860	36					0
Act 2 (N) Coupon B			1						27g	4	26g	4	21d	4	25g	4	22g	4	23g	4	20d	4	21g	4	19d	4	Act 2 (N) Coupon A	896	36					0
Act 2 (N) Coupon C			1						34g	4	35g	4	36g	4	24d	4	23d	4	28g	4	30g	4	29g	4	22d	4	Act 2 (N) Coupon B	932	36					0
Act 3 (N) Coupon A			1						27d	4	26d	4	43g	4	42g	4	41g	4	33g	4	32g	4	31g	4	37g	4	Act 2 (N) Coupon C	968	36					0
Act 3 (N) Coupon B			1						35d	4	34d	4	33d	4	40g	4	39g	4	38g	4	44g	4	29d	4	28d	4	Act 3 (N) Coupon A	1004	36					0
Act 3 (N) Coupon C			1						53g	4	54g	4	55g	4	56g	4	32d	4	31d	4	30d	4	37d	4	36d	4	Act 3 (N) Coupon B	1040	36					0
Act 4 (N) Coupon A			1						57g	4	45g	4	46g	4	47g	4	48g	4	49g	4	50g	4	51g	4	52g	4	Act 3 (N) Coupon C	1076	36					0
Act 4 (N) Coupon B			1						65g	4	63g	4	62g	4	38d	4	39d	4	61g	4	60g	4	59g	4	58g	4	Act 4 (N) Coupon A	1112	36					0
Act 5 (N) Coupon A			1						70g	4	04j	4	05j	4	68g	4	67g	4	40d	4	69g	4	66g	4	64g	4	Act 4 (N) Coupon B	1148	36					0
Act 5 (N) Coupon B			1						72g	4	74g	4	43d	4	04i	4	42d	4	41d	4	73g	4	71g	4	44d	4	Act 5 (N) Coupon A	1184	36					0
Act 5 (N) Coupon C			1						07i	4	77g	4	48d	4	47d	4	06i	4	05i	4	76g	4	45d	4	75g	4	Act 5 (N) Coupon B	1220	36					0
Act 1 (H) Coupon A			1						07j	2	02e	2	02k	2	01e	2	01h	2	06j	2	78g	4	50d	4	49d	4	Act 5 (N) Coupon C	1256	24					0
Act 1 (H) Coupon B			1						09h	2	07h	2	06h	2	05e	2	04h	2	05h	2	04e	2	03e	2	03h	2	Act 1 (H) Coupon A	1280	18					0
Act 1 (H) Coupon C			1						12k	2	11h	2	13h	2	09e	2	08e	2	07e	2	06e	2	08h	2	10h	2	Act 1 (H) Coupon B	1298	18					0
Act 2 (H) Coupon A			1						13e	2	12e	2	15h	2	14h	2	10i	2	09i	2	08i	2	11e	2	10e	2	Act 1 (H) Coupon C	1316	18					0
Act 2 (H) Coupon B			1						22k	2	14e	2	21h	2	15e	2	20h	2	17h	2	18h	2	16h	2	21h	2	Act 2 (H) Coupon A	1334	18					0
Act 2 (H) Coupon C			1						28h	2	27h	2	26h	2	25h	2	24h	2	16e	2	23h	2	19h	2	Act 2 (H) Coupon B	1350			16					0
Act 3 (H) Coupon A			1						33h	2	18e	2	17e	2	08j	2	32k	2	31h	2	30h	2	29h	2	Act 2 (H) Coupon C	1366			16					0
Act 3 (H) Coupon B			1						39h	2	21e	2	19e	2	20e	2	37h	2	36h	2	35h	2	34h	2	Act 3 (H) Coupon A	1382			16					0
Act 3 (H) Coupon C			1						22e	2	45h	2	42k	2	43h	2	11i	1	38h	2	41h	2	40h	2	Act 3 (H) Coupon B	1398			15					0
Act 4 (H) Coupon A			1						48h	2	51h	2	23e	2	25e	2	47h	2	24e	2	46h	2	44h	2	Act 3 (H) Coupon C	1413			16					0
Act 4 (H) Coupon B			1						30e	2	09j	2	54h	2	53h	2	27e	2	26e	2	50h	2	49h	2	Act 4 (H) Coupon A	1429			16					0
Act 5 (H) Coupon A			1						33e	2	32e	2	38e	2	12i	2	31e	2	52k	2	28e	2	29e	2	Act 4 (H) Coupon B	1445			16					0
Act 5 (H) Coupon B			1						56h	2	57h	2	58h	2	55h	2	37e	2	36e	2	35e	2	34e	2	Act 5 (H) Coupon A	1461			16					0
Act 5 (H) Coupon C			1						10j	1	62k	2	40e	1	41e	2	39e	1	59h	2	60h	2	61h	2	Act 5 (H) Coupon B	1477			13					0
Coupon JP (Norm)			-6						Act 5 Coupon C	6																								0
Coupon JP (NM)			-6						Act 5 (N) Coupon C	6																								0
Coupon JP (H)			-6						Act 5 (H) Coupon C	6																								0
Sauto			-3						Autolycus' Robes	1	Autolycus' Thieving Tools	1	Boots of Sneaking	1																				0
Sachilles			-3						Achilles' Force	1	Achilles' Girdle	1	Achilles' Heel	1																				0
Sdiablo			-4						Helm of Spirits	1	Optic Amulet	1	Armor of Gloom	1	Stormshield	1																		0
Splanet			-5						Tharn's Ward	1	Bard's Graceful Hand	1	The Acolyte's Spirit	1	Root's Banded Restraint	1	Wanderer's Waltz	1																0
Swaves			-4						Band of War	1	Band of Death	1	Band of Famine	1	Band of Pestilence	1																		0
Sshepherd			-3						Crook of the Darkest Valley	1	Shepherd's Blessing	1	Shepherd's Invocation	1																				0
Stass			-3						Tasselhoff's Jerkin	1	Tasselhoff's Pouches	1	Tasselhoff's Breaches	1																				0
Sarctic			-3						Arctic Horn	1	Arctic Mitts	1	Arctic Binding	1																				0
Sgabrielle			-3						Gabrielle's Pointed Staff	1	Gabrielle's Defense	1	Gabrielle's Revelation	1																				0
Slixo			-4						Lixo's Flight	1	Lixo's Harp	1	Lixo's Coat	1	Lixo's Jewel	1																		0
Saanna			-4						Aanna's Touch	1	Aanna's Dress	1	Aanna's Skill	1	Aanna's March	1																		0
Salaziel			-4						Alaziel's Point	1	Alaziel's Protector	1	Alaziel's Buckler	1	Alaziel's Grip	1																		0
Snoir			-4						Noir's Anticipation	1	Noir's Focus	1	Noir's Tenacity	1	Noir's Stride	1																		0
Smilea			-3						Milea's Crown	1	Milea's Maim	1	Milea's Mail	1																				0
Sdeath			-3						Death's Touch	1	Death's Hand	1	Death's Guard	1																				0
Svega			-4						Vega's Beauty	1	Grace	1	Power	1	Vega's Sash	1																		0
Smotoko			-3						Motoko's Power	1	Motoko's Kimono	1	Motoko's Charm	1																				0
Salora			-4						Alora's Veil	1	Alora's Silent Assault	1	Alora's Silhouette	1	Alora's Vestige	1																		0
Ssascha			-4						Sascha's Deadly Point	1	Sascha's Bosom	1	Sascha's Jagged Strike	1	Sascha's Black Slipper	1																		0
Sihsan			-4						Ihsan's Gaze	1	Ihsan's Spine	1	Ihsan's Clutch	1	Ihsan's Coil	1																		0
Sborik			-3						Borik's Nightblade	1	Borik's Dark Binding	1	Borik's Black Hand	1																				0
Sinfernal			-3						Infernal Cranium	1	Infernal Torch	1	Infernal Sign	1																				0
Srathol			-3						Rathol's Gaze	1	Rathol's Touch	1	Rathol's Fear	1																				0
Swrath			-5						Wrathamon's Skull	1	Ebola	1	Wrathamon's Scythe of Doom	1	Wrathamon's Cloak of Night	1	The Hands of Wier	1																0
Slich			-5						The Lich's Pate	1	The Lich's Curse	1	The Lich's Cage	1	The Lich's Clutch	1	The Lich's Sole	1																0
Snupraptor			-3						Nupraptor's Skull	1	Nupraptor's Eradicator	1	Nupraptor's Servant	1																				0
Slimdul			-4						Lim Dul's Hex	1	Lim Dul's High Guardian	1	Lim Dul's Vault	1	Lim Dul's Oath	1																		0
Sbrotherhood			-3						Mask of the Angel of Death	1	Flesh of the Angel of Chaos	1	Reaver of the Angel of A	1																				0
Sberserker			-3						Berserker's Headgear	1	Berserker's Hatchet	1	Berserker's Hauberk	1																				0
Smess			-3						Messerschmidt's Reaver	1	Messerschmidt's Burning Palm	1	Messerschmidt's Brace	1																				0
Skain			-5						Blood Baron	1	Kain's Fear	1	Kain's Sentinel	1	Kain's Wings	1	Kain's Life	1																0
Skrakerage			-3						Krakerag's Point	1	Krakerag's Chestplate	1	Krakerag's Slay	1																				0
Sdarkshade			-5						Darkshade's Haze	1	Darkshade's Skewer	1	Darkshade's Spined Sheath	1	Darkshade's Evisceration	1	Darkshade's Binding	1																0
Ssarevok			-3						Sarevok's Malicious Stare	1	Sarevok's Master	1	Sarevok's Savage Heart	1																				0
Shurja			-3						Crown of the Northern Tribes	1	Harrogath's Heirloom	1	Worldstone Shard	1																				0
Smilabrega			-3						Milabrega's Ironsoles	1	Milabrega's Rod	1	Milabrega's Orb	1																				0
Styrael			-3						Tyrael's Halo	1	Tyrael's Virtue	1	Tyrael's Faith	1																				0
Sanduin			-3						Anduin's Vision	1	Anduin's Vanquisher	1	Anduin's Protector	1																				0
Smalek			-5						Malek's Sight	1	Malek's Strike	1	Malek's Pride	1	Malek's Defense	1	Malek's Grip	1																0
Slancelot			-3						Lancelot's Prediction	1	Lancelot's Security	1	Lancelot's Heraldic Lion	1																				0
Sgriffith			-4						Griffith's Stare	1	Griffith's Charm	1	Griffith's Parry	1	Griffith's Protection	1																		0
Sdarien			-3						Darien's Wit	1	Darien's Faith	1	Darien's Band	1																				0
Sarcanna			-3						Arcanna's Sign	1	Arcanna's Deathwand	1	Arcanna's Flesh	1																				0
Stara			-4						Tara's Vision	1	Tara's Eye	1	Tara's Gown	1	Tara's Mirror	1																		0
Snaj			-3						Naj's Puzzler	1	Naj's Light Plate	1	Naj's Fireward	1																				0
Sdivada			-4						Divada's Tiara	1	Divada's Focus	1	Divada's Shawl	1	Divada's Screen	1																		0
Sraistlin			-4						Raistlin's Glance	1	Raistlin's Mark	1	The Staff of the Magi	1	Robes of the Arch-Magi	1																		0
Sjade			-4						Jade Star	1	Jade Wrap	1	Jade Crest	1	Jade Slipper	1																		0
Sarion			-3						Arion's Eye	1	Arion's Heart	1	Arion's Hand	1																				0
Shsaru			-3						Hsaru's Iron Arm	1	Hsarus' Iron Fist	1	Hsarus' Iron Heel	1																				0
Sblackwing			-4						Blackwing's Will	1	Blackwing's Force	1	Blackwing's Clench	1	Blackwing's Icewoven Strap	1																		0
Sdanarak			-3						Danarak's Spirit	1	Danarak's Mallet	1	Danarak's Wrap	1																				0
Smerlin			-4						Horns of Power	1	Keeper of the Fire	1	Robes of Earth and Water	1	Sandals of the Wind	1																		0
Snature			-4						Terra's Clairvoyance	1	Fyrre's Deception	1	Gaia's Carapace	1	Persephone's Heel	1																		0
Sjaheira			-4						Jaheira's Force	1	Jaheira's Volition	1	Jaheira's Caress	1	Jaheira's Girdle	1																		0
Snatrule			-3						Branch of the Ents	1	Hide of the Tarrasque	1	Claws of the Dragon	1																				0
Sroguen			-3						Rogue's Bow Normal	1	Rogue's Suit Normal	1	Rogue's Cap Normal	1																				0
Sdesertn			-3						Mercenary's Pike Normal	1	Mercenary's Wraps Normal	1	Mercenary's Shiek Normal	1																				0
Swolfn			-4						Iron Wolf's Broad Sword Normal	1	Iron Wolf's Robes Normal	1	Iron Wolf's Coif Normal	1	Iron Wolf's Guard Normal	1																		0
Sbarbn			-3						Barbarian's Point Normal	1	Barbarian's Shelter Normal	1	Barbarian's Visage Normal	1																				0
Sroguenm			-3						Rogue's Bow Nightmare	1	Rogue's Suit Nightmare	1	Rogue's Cap Nightmare	1																				0
Sdesertnm			-3						Mercenary's Pike Nightmare	1	Mercenary's Wraps Nightmare	1	Mercenary's Shiek Nightmare	1																				0
Swolfnm			-4						Iron Wolf's Broad Sword Night	1	Iron Wolf's Robes Nightmare	1	Iron Wolf's Coif Nightmare	1	Iron Wolf's Guard Nightmare	1																		0
Sbarbnm			-3						Barbarian's Point Nightmare	1	Barbarian's Shelter Nightmare	1	Barbarian's Visage Nightmare	1																				0
Srogueh			-3						Rogue's Bow Hell	1	Rogue's Suit Hell	1	Rogue's Cap Hell	1																				0
Sdeserth			-3						Mercenary's Pike Hell	1	Mercenary's Wraps Hell	1	Mercenary's Shiek Hell	1																				0
Swolfh			-4						Iron Wolf's Broad Sword Hell	1	Iron Wolf's Robes Hell	1	Iron Wolf's Coif Hell	1	Iron Wolf's Guard Hell	1																		0
Sbarbh			-3						Barbarian's Point Hell	1	Barbarian's Shelter Hell	1	Barbarian's Visage Hell	1																				0
Sets01			1	0	1024				Sauto	1	Sarctic	1	Sdeath	1	Sberserker	1	Shsaru	1	Sinfernal	1	Smilabrega	1	Sarcanna	1										0
Sets02			1	0	1024				Sroguen	1	Sets01	18																						0
Sets03			1	0	1024				Sachilles	1	Sgabrielle	1	Svega	1	Smess	1	Sblackwing	1	Srathol	1	Styrael	1	Stara	1			Sets02	25						0
Sets04			1	0	1024				Sdiablo	1	Slixo	1	Smotoko	1	Skain	1	Sdanarak	1	Swrath	1	Sanduin	1	Snaj	1			Sbarbn	1	Sets03	50				0
Sets05			1	0	1024				Splanet	1	Saanna	1	Salora	1	Skrakerage	1	Smerlin	1	Slich	1	Smalek	1	Sdivada	1			Sdesertnm	1	Sets04	75				0
Sets06			1	0	1024				Swaves	1	Salaziel	1	Ssascha	1	Sdarkshade	1	Snature	1	Snupraptor	1	Slancelot	1	Sraistlin	1			Sbarbnm	1	Sets05	100				0
Sets07			1	0	1024				Sshepherd	1	Snoir	1	Sihsan	1	Shurja	1	Sjaheira	1	Slimdul	1	Sgriffith	1	Sjade	1			Sdeserth	1	Sets06	125				0
Sets08			1	0	1024				Stass	1	Smilea	1	Sborik	1	Ssarevok	1	Snatrule	1	Sbrotherhood	1	Sdarien	1	Sarion	1			Sbarbh	1	Sets07	150				0
Act 1 UGood			1						Act 1 Good	240	Sets01	1	Rune JP (Norm)	2	Coupon JP (Norm)	2																		0
Act 2 UGood			1						Act 2 Good	240	Sets01	1	Rune JP (Norm)	2	Coupon JP (Norm)	2																		0
Act 3 UGood			1						Act 3 Good	240	Sets02	1	Rune JP (Norm)	2	Coupon JP (Norm)	2																		0
Act 4 UGood			1						Act 4 Good	240	Sets03	1	Rune JP (Norm)	2	Coupon JP (Norm)	2																		0
Act 5 UGood			1						Act 5 Good	240	Sets03	1	Rune JP (Norm)	2	Coupon JP (Norm)	2																		0
Act 1 (N) UGood			1						Act 1 (N) Good	240	Sets04	1	Rune JP (NM)	2	Coupon JP (NM)	2																		0
Act 2 (N) UGood			1						Act 2 (N) Good	240	Sets04	1	Rune JP (NM)	2	Coupon JP (NM)	2																		0
Act 3 (N) UGood			1						Act 3 (N) Good	240	Sets04	1	Rune JP (NM)	2	Coupon JP (NM)	2																		0
Act 4 (N) UGood			1						Act 4 (N) Good	240	Sets05	1	Rune JP (NM)	2	Coupon JP (NM)	2																		0
Act 5 (N) UGood			1						Act 5 (N) Good	240	Sets05	1	Rune JP (NM)	2	Coupon JP (NM)	2																		0
Act 1 (H) UGood			1						Act 1 (H) Good	240	Sets05	1	Rune JP (H)	2	Coupon JP (H)	2																		0
Act 2 (H) UGood			1						Act 2 (H) Good	240	Sets06	1	Rune JP (H)	2	Coupon JP (H)	2																		0
Act 3 (H) UGood			1						Act 3 (H) Good	240	Sets06	1	Rune JP (H)	2	Coupon JP (H)	2																		0
Act 4 (H) UGood			1						Act 4 (H) Good	240	Sets07	1	Rune JP (H)	2	Coupon JP (H)	2																		0
Act 5 (H) UGood			1						Act 5 (H) Good	240	Sets08	1	Rune JP (H)	2	Coupon JP (H)	2																		0
Act 1 Equip A	1	0	1						weap3	200	armo3	200	Act 1 Coupon C	5															405					0
Act 1 Equip B	1	5	1						weap3	60	armo3	60	weap6	140	armo6	140	Act 2 Coupon A	5											405					0
Act 1 Equip C	1	9	1						weap3	20	armo3	10	weap6	60	armo6	30	weap9	140	armo9	70	weap12	20	armo12	10	Act 2 Coupon B	4			364					0
Act 2 Equip A	1	12	1						weap6	20	armo6	10	weap9	60	armo9	30	weap12	140	armo12	70	weap15	20	armo15	10	Act 2 Coupon C	4	Act 1 Equip C	364	364					0
Act 2 Equip B	1	15	1						weap9	20	armo9	10	weap12	60	armo12	30	weap15	140	armo15	70	weap18	20	armo18	10	Act 3 Coupon A	4	Act 2 Equip A	728	364					0
