Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Winter	100	1	1	34		39				16	10	cold-min		11	20	cold-max		71	140	cold-len		150	150	1	dblu	mele										0	0	0
of the Iceberg	100	1		50		51				16	10	cold-min		21	40	cold-max		141	280	cold-len		200	200	1	cblu	mele										0	0	0
of Flame	100	1	1	4	25	3				16	11	fire-min		1	3	fire-max		4	12					1	lred	weap	amul	ring	glov							0	0	0
of Fire	100	1	1	15	34	15				16	11	fire-min		4	7	fire-max		13	37					1	lred	weap	amul	ring	glov							0	0	0
of Burning	100	1	1	25	50	27				16	11	fire-min		8	15	fire-max		38	75					1	dred	weap										0	0	0
of Incineration	100	1	1	34		39				16	11	fire-min		16	30	fire-max		76	150					1	dred	mele										0	0	0
of Wildfire	100	1		50		51				16	11	fire-min		31	60	fire-max		151	300					1	cred	mele										0	0	0
of Shock	100	1	1	4	25	3				16	12	ltng-min		1	1	ltng-max		5	16					1	dyel	weap	amul	ring	boot							0	0	0
of Lightning	100	1	1	15	34	15				16	12	ltng-min		1	1	ltng-max		17	50					1	dyel	weap	amul	ring	boot							0	0	0
of Thunder	100	1	1	25	50	27				16	12	ltng-min		1	1	ltng-max		51	100					1	lyel	weap										0	0	0
of Storms	100	1	1	34		39				16	12	ltng-min		1	1	ltng-max		101	200					1	lyel	mele										0	0	0
of Arcing	100	1		50		51				16	12	ltng-min		1	1	ltng-max		201	400					1	lyel	mele										0	0	0
of Blight	100	1	1	4	25	3				16	13	dmg-pois	50	103	103									1	lgrn	weap	circ	amul	ring							0	0	0
of Venom	100	1	1	15	34	15				16	13	dmg-pois	75	137	137									1	lgrn	weap	circ									0	0	0
of Pestilence	100	1	1	25	50	27				16	13	dmg-pois	100	205	205									1	dgrn	weap	circ									0	0	0
of Anthrax	100	1	1	34		39				16	13	dmg-pois	125	328	328									1	dgrn	mele										0	0	0
of Toxin	100	1		50		51				16	13	dmg-pois	150	547	547									1	cgrn	mele										0	0	0
of Worth	100	1	1	1	12	3				14	14	dmg-min		1	1						20			1	lgry	weap	amul	ring	circ	tors			staf	wand		0	0	0
of Measure	100	1	1	12	24	15				14	14	dmg-min		2	3						40			1	dgry	weap	amul	ring	circ				staf	wand		0	0	0
of Excellence	100	1	1	24	48	27				14	14	dmg-min		4	6						80			1	dgry	weap	amul	ring	circ				staf	wand		0	0	0
of Performance	100	1	1	48		39				14	14	dmg-min		7	12						160			1	blac	weap	amul	ring	circ				staf	wand		0	0	0
of Transcendence	100	1	1	76		51				14	14	dmg-min		13	20						320			1	blac	weap	amul						staf	wand		0	0	0
of Craftsmanship	100	1	1	1	24	1				18	15	dmg-max		1	2									1	dgry	weap	circ	amul	ring	helm	shld		staf	wand		0	0	0
of Quality	100	1	1	5	32	5				18	15	dmg-max		3	4									1	lgry	weap	circ	amul	ring	helm	shld		staf	wand		0	0	0
of Maiming	100	1	1	8	40	8				18	15	dmg-max		5	7									1	dred	weap	circ						staf	wand		0	0	0
of Slaying	100	1	1	14	48	14				18	15	dmg-max		8	12									1	dred	weap	circ						staf	wand		0	0	0
of Gore	100	1	1	22	56	22				18	15	dmg-max		13	20									1	cred	weap	circ						staf	wand		0	0	0
of Carnage	100	1	1	30		30				18	15	dmg-max		21	30									1	cred	weap							staf	wand		0	0	0
of Slaughter	100	1	1	38		38				18	15	dmg-max		31	40									1	blac	weap							staf	wand		0	0	0
of Butchery	100	1	1	46		46				18	15	dmg-max		41	55									1	blac	weap							staf	wand		0	0	0
of Evisceration	100	1	1	54		54				18	15	dmg-max		56	80									1	blac	weap							staf	wand		0	0	0
of Remedy	100	1	1	7	25	5				18	16	res-pois-len		25	25									1	lgrn	amul	ring	armo								0	0	0
of Amelioration	100	1	1	18		13				18	16	res-pois-len		50	50									1	cgrn	amul	ring	armo								0	0	0
of Defiance	100	1	1	25		18				18	16	res-pois-len		75	75									1	dred	amul	helm	tors	shld							0	0	0
of Warmth	100	1	1	10		7				20	17	half-freeze		1	1									1	lblu	amul	ring	armo								0	0	0
of Balance	100	1	1	5		3				20	18	balance1		10	10									1	dyel	armo										0	0	0
of Equilibrium	100	1	1	9		6				20	18	balance2		17	17									1	dyel	tors	belt	shld								0	0	0
of Stability	100	1	1	18		13				20	18	balance3		24	24									1	lyel	tors	belt									0	0	0
of Pacing	100	1	1	2		1				20	19	move1		10	10									1	lblu	boot	circ									0	0	0
of Haste	100	1	1	22		16				20	19	move2		20	20									1	dblu	boot	circ									0	0	0
of Speed	100	1	1	37		29				20	19	move3		30	30									1	dblu	boot	circ									0	0	0
of Acceleration	100	1		51		43				20	19	move3		40	40									1	cblu	boot										0	0	0
of Traveling	100	1		65		57				20	19	move3		30	30	stamdrain		80	90					1	cblu	boot										0	0	0
of Regeneration	100	1	1	25		7				20	20	regen		3	5									1	cred	armo	scep	staf	wand	amul	ring					0	0	0
of Regrowth	100	1	1	36		12				20	20	regen		6	10									1	cred	armo	scep	staf	wand	amul	ring					0	0	0
of Revivification	100	1	1	65		30				20	20	regen		11	15									1	cred	armo	scep	staf	wand	amul						0	0	0
of Vileness	100	1	1	9		6				18	21	noheal		1	1									1	blac	mele										0	0	0
of Greed	100	1	1	15		12				20	22	gold%		10	20									1	dgld	amul	circ	boot	glov	ring						0	0	0
of Greed	100	1	1	27		24				20	22	gold%		21	40									1	dgld	amul	circ	boot	glov	ring						0	0	0
of Greed	100	1	1	35		32				20	22	gold%		41	60									1	dgld	amul	circ	boot								0	0	0
of Fortune	100	1	1	15		12				20	23	mag%		7	15									1	lgld	amul	circ	boot	glov	ring						0	0	0
of Fortune	100	1	1	27		24				20	23	mag%		16	30									1	lgld	amul	circ	boot	glov	ring						0	0	0
of Fortune	100	1	1	35		32				20	23	mag%		31	45									1	lgld	amul	circ	boot								0	0	0
of Riches	100	1	1	50		48				20	23	mag%		16	30	gold%		21	40					1	lyel	amul	circ	boot								0	0	0
of Ease	100	1	1	15		11				18	24	ease		-20	-20									1	lpur	weap	helm	tors	shld							0	0	0
of Simplicity	100	1	1	25		18				18	24	ease		-30	-30									1	lpur	weap	helm	tors	shld							0	0	0
of Alleviation	100	1	1	35		25				18	24	ease		-40	-40									1	lpur	weap	helm	tors	shld							0	0	0
of the Bear	100	1	1	8		6				18	25	knock		1	1									1	blac	mele							staf	wand		0	0	0
of Light	100	1	1	6	15	4				14	26	light		1	1	att/lvl	2							1	whit	amul	ring	armo								0	0	0
of Radiance	100	1	1	15	17	11				14	26	light		3	3	att/lvl	6							1	lyel	amul	ring	helm	glov							0	0	0
of the Sun	100	1	1	17	25	12				14	26	light		5	5	att/lvl	10							1	oran	amul	ring	helm								0	0	0
of the Jackal	100	1	1	1	7	1				24	27	hp		1	5									1	oran	amul	ring	armo	staf	wand						0	0	0
of the Fox	100	1	1	7	15	5				24	27	hp		6	10									1	oran	amul	ring	armo	staf	wand						0	0	0
of the Wolf	100	1	1	15	20	11				24	27	hp		11	20									1	dred	amul	ring	armo	staf	wand						0	0	0
of the Tiger	100	1	1	20	25	15				24	27	hp		21	30									1	dred	amul	ring	armo	staf	wand						0	0	0
of the Mammoth	100	1	1	25		18				24	27	hp		31	40									1	cred	amul	ring	armo	staf	wand						0	0	0
of the Colossus	100	1	1	30		22				24	27	hp		41	60									1	cred	amul	helm	tors	belt	shld						0	0	0
of the Squid	100	1	1	40		30				24	27	hp		61	80									1	cred	amul	helm	tors	belt							0	0	0
of the Whale	100	1	1	50		37				24	27	hp		81	100									1	cred	amul	helm	tors	belt							0	0	0
of the Leech	100	1	1	6		4				22	28	lifesteal		4	6									1	cred	weap	amul	ring	circ	glov						0	0	0
of the Locust	100	1	1	20		15				22	28	lifesteal		7	9									1	cred	weap	amul	ring	circ							0	0	0
of the Lamprey	100	1	1	55		43				22	28	lifesteal		10	12									1	cred	mele										0	0	0
of the Bat	100	1	1	7		4				22	29	manasteal		4	6									1	cblu	weap	amul	ring	circ	glov						0	0	0
of the Wraith	100	1	1	21		16				22	29	manasteal		7	9									1	cblu	weap	amul	ring	circ							0	0	0
of the Vampire	100	1	1	56		48				22	29	manasteal		10	12									1	cblu	mele										0	0	0
of Strength	100	1	1	1	10	1				18	30	str		1	3									1	dred	amul	ring	armo	mele							0	0	0
of Might	100	1	1	10	26	8				18	30	str		4	6									1	dred	amul	ring	armo	mele							0	0	0
of the Ox	100	1	1	26	42	19				18	30	str		7	10									1	dred	amul	ring	armo	mele							0	0	0
of the Giant	100	1	1	42	58	34				18	30	str		11	15									1	dred	amul	ring	armo	mele							0	0	0
of the Titan	100	1	1	58		50				18	30	str		16	20									1	cred	amul	helm	tors	belt	blun	ring					0	0	0
of Atlus	100	1	1	71		63				18	30	str		21	30									1	cred	amul	helm	tors	belt	blun						0	0	0
of Dexterity	100	1	1	1	10	1				18	31	dex		1	3									1	dgrn	amul	miss	helm	tors	glov	ring	boot				0	0	0
of Skill	100	1	1	10	26	8				18	31	dex		4	6									1	dgrn	amul	miss	helm	tors	glov	ring	boot				0	0	0
of Accuracy	100	1	1	26	42	19				18	31	dex		7	10									1	dgrn	amul	miss	helm	tors	glov	ring	boot				0	0	0
of Precision	100	1	1	42	58	34				18	31	dex		11	15									1	dgrn	amul	miss	helm	tors	glov	ring	boot				0	0	0
of Perfection	100	1	1	58		50				18	31	dex		16	20									1	cgrn	amul	miss	helm	tors	glov	ring					0	0	0
of Nirvana	100	1	1	71		63				18	31	dex		21	30									1	cgrn	amul	miss	helm	tors	glov						0	0	0
of Energy	100	1	1	1	10	1				12	32	enr		1	3									1	dblu	amul	helm	staf	wand	ring						0	0	0
of the Mind	100	1	1	10	26	8				12	32	enr		4	6									1	dblu	amul	helm	staf	wand	ring						0	0	0
of Brilliance	100	1	1	26	42	19				12	32	enr		7	10									1	dblu	amul	helm	staf	wand	ring						0	0	0
of Sorcery	100	1	1	42	58	34				12	32	enr		11	15									1	dblu	amul	helm	staf	wand	ring						0	0	0
of Wizardry	100	1	1	58		50				12	32	enr		16	20									1	cblu	amul	circ	staf	wand	ring						0	0	0
of Enlightenment	100	1	1	71		63				12	32	enr		21	30									1	cblu	amul	circ	staf	wand							0	0	0
of Shielding	100			30		20				12	33	res-all		10	10	res-all-max		2	4					1	whit	helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	50		35				12	33	res-all		15	15	res-all-max		2	4					1	whit	helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	70		50				12	33	res-all		20	20	res-all-max		3	6					1	whit	helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	90		65				12	33	res-all		25	25	res-all-max		4	8					1	whit	helm	tors	shld	belt	staf	wand					0	0	0
of Self-Repair	100	1	1	3		1				18	34	rep-dur	3											1	oran	mele	armo									0	0	0
of Fast Repair	100	1	1	20		12				18	34	rep-dur	5											1	oran	mele	armo									0	0	0
of Replenishing	100	0	1	5		3				14	34	rep-quant	5											1	oran	thro										0	0	0
of Propogation	100	0	1	24		18				28	34	rep-quant	10											1	oran	thro										0	0	0
of Ages	100	0	1	50		42				14	34	indestruct												1	blac	mele	armo									0	0	0
of the Kraken	100	1	1	37		1				14	35	hp/lvl	6											1	cred	amul	circ	pelt	phlm	tors						0	0	0
of Memory	100	1	1	37		1				14	36	mana/lvl	6											1	cred	amul	circ									0	0	0
of the Elephant	100	1	1	37		1				14	37	hp/lvl	3			mana/lvl	3							1	cred	amul	circ									0	0	0
of Power	100	1	1	37		1				14	38	str/lvl	4											1	dgld	amul	circ	pelt	phlm	tors						0	0	0
of Grace	100	1	1	37		1				14	39	dex/lvl	4											1	dgld	amul	circ									0	0	0
of Grace and Power	100	1	1	37		1				14	40	str/lvl	2			dex/lvl	2							1	dgld	amul	circ									0	0	0
of the Yeti	100	1	1	25		1				14	41	res-cold/lvl	4											1	lblu	amul	ring	helm	tors							0	0	0
of the Phoenix	100	1	1	25		1				14	42	res-fire/lvl	4											1	cred	amul	ring	helm	tors							0	0	0
of the Efreeti	100	1	1	25		1				14	43	res-ltng/lvl	4											1	cblu	amul	ring	helm	tors							0	0	0
of the Cobra	100	1	1	25		1				14	44	res-pois/lvl	4											1	dyel	amul	ring	helm	tors							0	0	0
of the Elements	100	1	1	50		1				14	45	res-cold/lvl	2			res-fire/lvl	2			res-ltng/lvl	2			1	dgld	amul	ring	helm	tors							0	0	0
of the Saint	100	1	1	15	18	12				16	46	dmg-demon		125	125	dmg-undead		125	125					1	whit	weap							staf	wand		0	0	0
of the Heavens	100	1	1	25	30	20				16	46	dmg-demon		150	150	dmg-undead		150	150					1	bwht	weap							staf	wand		0	0	0
of the Arctic	100	1	1	90		75				14	47	freeze		1	1	nofreeze		1	1					1	cblu	weap							staf	wand		0	0	0
of Fire Ball	100	1	1	12	36	10				2	48	hit-skill	Fire Ball	6	5									1	dred	weap							staf	wand		0	0	0
of Fire Ball	100	1	1	24	48	20				2	48	hit-skill	Fire Ball	7	10									1	dred	weap							staf	wand		0	0	0
of Fire Ball	100	1	1	36		30				2	48	hit-skill	Fire Ball	9	15									1	dred	weap							staf	wand		0	0	0
of Fire Ball	100	1	1	48		40				2	48	hit-skill	Fire Ball	10	20									1	cred	mele							staf	wand		0	0	0
of Fire Ball	100	1	1	60		50				2	48	hit-skill	Fire Ball	12	25									1	cred	mele							staf	wand		0	0	0
of Lightning	100	1	1	12	36	10				2	48	hit-skill	Lightning	6	8									1	dyel	weap							staf	wand		0	0	0
of Lightning	100	1	1	24	48	20				2	48	hit-skill	Lightning	7	15									1	dyel	weap							staf	wand		0	0	0
of Lightning	100	1	1	36		30				2	48	hit-skill	Lightning	9	20									1	dyel	weap							staf	wand		0	0	0
of Lightning	100	1	1	48		40				2	48	hit-skill	Lightning	10	25									1	lyel	mele							staf	wand		0	0	0
of Lightning	100	1	1	60		50				2	48	hit-skill	Lightning	12	30									1	lyel	mele							staf	wand		0	0	0
of Chain Lightning	100	1	1	12	36	10				2	48	hit-skill	Chain Lightning	6	5									1	dyel	weap							staf	wand		0	0	0
of Chain Lightning	100	1	1	24	48	20				2	48	hit-skill	Chain Lightning	7	10									1	dyel	weap							staf	wand		0	0	0
of Chain Lightning	100	1	1	36		30				2	48	hit-skill	Chain Lightning	9	15									1	dyel	weap							staf	wand		0	0	0
of Chain Lightning	100	1	1	48		40				2	48	hit-skill	Chain Lightning	10	20									1	lyel	mele							staf	wand		0	0	0
of Chain Lightning	100	1	1	60		50				2	48	hit-skill	Chain Lightning	12	25									1	lyel	mele							staf	wand		0	0	0
of Glacial Spike	100	1	1	12	36	10				2	48	hit-skill	Glacial Spike	6	5									1	dblu	weap							staf	wand		0	0	0
of Glacial Spike	100	1	1	24	48	20				2	48	hit-skill	Glacial Spike	7	10									1	dblu	weap							staf	wand		0	0	0
of Glacial Spike	100	1	1	36		30				2	48	hit-skill	Glacial Spike	9	15									1	dblu	weap							staf	wand		0	0	0
of Glacial Spike	100	1	1	48		40				2	48	hit-skill	Glacial Spike	10	20									1	cblu	mele							staf	wand		0	0	0
of Glacial Spike	100	1	1	60		50				2	48	hit-skill	Glacial Spike	12	25									1	cblu	mele							staf	wand		0	0	0
of Frozen Orb	100	1	1	12	36	10				2	48	hit-skill	ctcFrozen Orb	6	5									1	dblu	weap							staf	wand		0	0	0
of Frozen Orb	100	1	1	24	48	20				2	48	hit-skill	ctcFrozen Orb	7	10									1	dblu	weap							staf	wand		0	0	0
of Frozen Orb	100	1	1	36		30				2	48	hit-skill	ctcFrozen Orb	9	15									1	dblu	weap							staf	wand		0	0	0
of Frozen Orb	100	1	1	48		40				2	48	hit-skill	ctcFrozen Orb	10	20									1	cblu	mele							staf	wand		0	0	0
of Frozen Orb	100	1	1	60		50				2	48	hit-skill	ctcFrozen Orb	12	25									1	cblu	mele							staf	wand		0	0	0
of Icebolt	100	1	1	12	36	10				2	49	hit-skill	Ice Bolt	6	8									1	lblu	weap							staf	wand		0	0	0
of Icebolt	100	1	1	24	48	20				2	49	hit-skill	Ice Bolt	7	15									1	lblu	weap							staf	wand		0	0	0
of Icebolt	100	1	1	36		30				2	49	hit-skill	Ice Bolt	9	20									1	lblu	weap							staf	wand		0	0	0
of Icebolt	100	1	1	48		40				2	49	hit-skill	Ice Bolt	10	25									1	lblu	mele							staf	wand		0	0	0
of Icebolt	100	1	1	60		50				2	49	hit-skill	Ice Bolt	12	30									1	lblu	mele							staf	wand		0	0	0
of Immolation	100	1	1	12	36	10				2	49	hit-skill	Nova	6	5									1	dred	weap							staf	wand		0	0	0
of Immolation	100	1	1	24	48	20				2	49	hit-skill	Nova	7	10									1	dred	weap							staf	wand		0	0	0
of Immolation	100	1	1	36		30				2	49	hit-skill	Nova	9	15									1	dred	weap							staf	wand		0	0	0
of Immolation	100	1	1	48		40				2	49	hit-skill	Nova	10	20									1	cred	mele							staf	wand		0	0	0
of Immolation	100	1	1	60		50				2	49	hit-skill	Nova	12	25									1	cred	mele							staf	wand		0	0	0
of Meteor	100	1	1	12	36	10				2	49	hit-skill	ctcMeteor	5	6									1	dred	weap							staf	wand		0	0	0
of Meteor	100	1	1	24	48	20				2	49	hit-skill	ctcMeteor	6	12									1	dred	weap							staf	wand		0	0	0
of Meteor	100	1	1	36		30				2	49	hit-skill	ctcMeteor	7	18									1	dred	weap							staf	wand		0	0	0
of Meteor	100	1	1	48		40				2	49	hit-skill	ctcMeteor	8	24									1	cred	mele							staf	wand		0	0	0
of Meteor	100	1	1	60		50				2	49	hit-skill	ctcMeteor	9	30									1	cred	mele							staf	wand		0	0	0
of Blizzard	100	1	1	12	36	10				2	49	hit-skill	ctcBlizzard	6	5									1	dblu	weap							staf	wand		0	0	0
of Blizzard	100	1	1	24	48	20				2	49	hit-skill	ctcBlizzard	7	10									1	dblu	weap							staf	wand		0	0	0
of Blizzard	100	1	1	36		30				2	49	hit-skill	ctcBlizzard	9	15									1	dblu	weap							staf	wand		0	0	0
of Blizzard	100	1	1	48		40				2	49	hit-skill	ctcBlizzard	10	20									1	cblu	mele							staf	wand		0	0	0
of Blizzard	100	1	1	60		50				2	49	hit-skill	ctcBlizzard	12	25									1	cblu	mele							staf	wand		0	0	0
of Damage Amplification	100	1	1	12	36	10				2	49	hit-skill	Amplify Damage	5	4									1	dred	weap	amul	ring					staf	wand		0	0	0
of Damage Amplification	100	1	1	24	48	20				2	49	hit-skill	Amplify Damage	6	5									1	dred	weap	amul	ring					staf	wand		0	0	0
of Damage Amplification	100	1	1	36		30				2	49	hit-skill	Amplify Damage	7	6									1	dred	weap							staf	wand		0	0	0
of Damage Amplification	100	1	1	48		40				2	49	hit-skill	Amplify Damage	8	7									1	cred	mele							staf	wand		0	0	0
of Damage Amplification	100	1	1	60		50				2	49	hit-skill	Amplify Damage	9	8									1	cred	mele							staf	wand		0	0	0
of Charged Shield	100	1	1	12	36	10				2	50	gethit-skill	Charged Bolt	6	8									1	dyel	armo	staf	wand								0	0	0
of Charged Shield	100	1	1	24	48	20				2	50	gethit-skill	Charged Bolt	7	15									1	dyel	armo	staf	wand								0	0	0
of Charged Shield	100	1	1	36		30				2	50	gethit-skill	Charged Bolt	9	20									1	dyel	armo	staf	wand								0	0	0
of Charged Shield	100	1	1	48		40				2	50	gethit-skill	Charged Bolt	10	25									1	lyel	armo	staf	wand								0	0	0
of Charged Shield	100	1	1	60		50				2	50	gethit-skill	Charged Bolt	12	30									1	lyel	armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	12	36	10				2	50	gethit-skill	Frozen Armor	6	5									1	dblu	armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	24	48	20				2	50	gethit-skill	Frozen Armor	7	10									1	dblu	armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	36		30				2	50	gethit-skill	Frozen Armor	9	15									1	dblu	armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	48		40				2	50	gethit-skill	Frozen Armor	10	20									1	cblu	armo	staf	wand								0	0	0
of Frozen Armor	100	1	1	60		50				2	50	gethit-skill	Frozen Armor	12	25									1	cblu	armo	staf	wand								0	0	0
of Static Field	100	1	1	12	36	10				2	50	gethit-skill	Static Field	6	5									1	dyel	armo	staf	wand								0	0	0
of Static Field	100	1	1	24	48	20				2	50	gethit-skill	Static Field	7	10									1	dyel	armo	staf	wand								0	0	0
of Static Field	100	1	1	36		30				2	50	gethit-skill	Static Field	9	15									1	dyel	armo	staf	wand								0	0	0
of Static Field	100	1	1	48		40				2	50	gethit-skill	Static Field	10	20									1	lyel	armo	staf	wand								0	0	0
of Static Field	100	1	1	60		50				2	50	gethit-skill	Static Field	12	25									1	lyel	armo	staf	wand								0	0	0
of Frost Shield	100	1	1	12	36	10				2	50	gethit-skill	Frost Nova	6	5									1	lblu	armo	staf	wand								0	0	0
of Frost Shield	100	1	1	24	48	20				2	50	gethit-skill	Frost Nova	7	10									1	lblu	armo	staf	wand								0	0	0
of Frost Shield	100	1	1	36		30				2	50	gethit-skill	Frost Nova	9	15									1	lblu	armo	staf	wand								0	0	0
of Frost Shield	100	1	1	48		40				2	50	gethit-skill	Frost Nova	10	20									1	lblu	armo	staf	wand								0	0	0
of Frost Shield	100	1	1	60		50				2	50	gethit-skill	Frost Nova	12	25									1	lblu	armo	staf	wand								0	0	0
of Fire Shield	100	1	1	12	36	10				2	50	gethit-skill	Nova	6	5									1	cblu	armo	staf	wand								0	0	0
of Fire Shield	100	1	1	24	48	20				2	50	gethit-skill	Nova	7	10									1	cblu	armo	staf	wand								0	0	0
of Fire Shield	100	1	1	36		30				2	50	gethit-skill	Nova	9	15									1	cblu	armo	staf	wand								0	0	0
of Fire Shield	100	1	1	48		40				2	50	gethit-skill	Nova	10	20									1	cblu	armo	staf	wand								0	0	0
of Fire Shield	100	1	1	60		50				2	50	gethit-skill	Nova	12	25									1	cblu	armo	staf	wand								0	0	0
of Meteor Shower	100	1	1	12	36	10				2	50	gethit-skill	Shiver Armor	6	5									1	dred	armo	staf	wand								0	0	0
of Meteor Shower	100	1	1	24	48	20				2	50	gethit-skill	Shiver Armor	7	10									1	dred	armo	staf	wand								0	0	0
of Meteor Shower	100	1	1	36		30				2	50	gethit-skill	Shiver Armor	9	15									1	dred	armo	staf	wand								0	0	0
of Meteor Shower	100	1	1	48		40				2	50	gethit-skill	Shiver Armor	10	20									1	cred	armo	staf	wand								0	0	0
of Meteor Shower	100	1	1	60		50				2	50	gethit-skill	Shiver Armor	12	25									1	cred	armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	12	36	10				2	50	gethit-skill	Chilling Armor	6	5									1	dblu	armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	24	48	20				2	50	gethit-skill	Chilling Armor	7	10									1	dblu	armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	36		30				2	50	gethit-skill	Chilling Armor	9	15									1	dblu	armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	48		40				2	50	gethit-skill	Chilling Armor	10	20									1	cblu	armo	staf	wand								0	0	0
of Shiver Armor	100	1	1	60		50				2	50	gethit-skill	Chilling Armor	12	25									1	cblu	armo	staf	wand								0	0	0
of Hydra Shield	100	1	1	12	36	10				2	50	gethit-skill	ctcHydra	6	5									1	dyel	armo	staf	wand								0	0	0
of Hydra Shield	100	1	1	24	48	20				2	50	gethit-skill	ctcHydra	7	10									1	dyel	armo	staf	wand								0	0	0
of Hydra Shield	100	1	1	36		30				2	50	gethit-skill	ctcHydra	9	15									1	dyel	armo	staf	wand								0	0	0
